card_ids,cards,runs_with_package,pct_runs_with_package,avg_damage,damage_vs_all_wins,avg_final_hp_fraction,avg_turns
BLOODLETTING;FIEND_FIRE;SHRUG_IT_OFF,Bloodletting + Fiend Fire + Shrug It Off,22,13.7,375.2,-6.0,0.52,118.3
ANGER;BLOODLETTING;POMMEL_STRIKE,Anger + Bloodletting + Pommel Strike,22,13.7,378.3,-2.9,0.589,113.0
BURNING_PACT;POMMEL_STRIKE;UPPERCUT,Burning Pact + Pommel Strike + Uppercut,22,13.7,379.8,-1.4,0.508,125.3
BLOODLETTING;POMMEL_STRIKE;THUNDERCLAP,Bloodletting + Pommel Strike + Thunderclap,22,13.7,380.5,-0.6,0.52,114.9
FEEL_NO_PAIN;POMMEL_STRIKE;TREMBLE,Feel No Pain + Pommel Strike + Tremble,22,13.7,382.6,1.4,0.495,118.7
BATTLE_TRANCE;BLOOD_WALL;POMMEL_STRIKE,Battle Trance + Blood Wall + Pommel Strike,22,13.7,389.5,8.3,0.383,107.9
HEADBUTT;SHRUG_IT_OFF;TREMBLE,Headbutt + Shrug It Off + Tremble,22,13.7,390.7,9.5,0.504,119.8
BLOODLETTING;TAUNT;TRUE_GRIT,Bloodletting + Taunt + True Grit,22,13.7,392.2,11.0,0.518,116.7
BLOOD_WALL;SHRUG_IT_OFF;TRUE_GRIT,Blood Wall + Shrug It Off + True Grit,22,13.7,392.7,11.5,0.519,118.3
DOMINATE;SHRUG_IT_OFF;UPPERCUT,Dominate + Shrug It Off + Uppercut,22,13.7,393.3,12.1,0.487,114.5
COLOSSUS;POMMEL_STRIKE;VICIOUS,Colossus + Pommel Strike + Vicious,22,13.7,395.9,14.7,0.606,121.8
BLOOD_WALL;SHRUG_IT_OFF;UPPERCUT,Blood Wall + Shrug It Off + Uppercut,22,13.7,397.4,16.2,0.49,122.7
BATTLE_TRANCE;POMMEL_STRIKE;TREMBLE,Battle Trance + Pommel Strike + Tremble,22,13.7,399.5,18.3,0.5,120.6
POMMEL_STRIKE;TREMBLE;UPPERCUT,Pommel Strike + Tremble + Uppercut,22,13.7,399.9,18.7,0.544,125.9
BLOODLETTING;BLOOD_WALL;UPPERCUT,Bloodletting + Blood Wall + Uppercut,22,13.7,400.5,19.4,0.498,122.1
BATTLE_TRANCE;SHRUG_IT_OFF;TREMBLE,Battle Trance + Shrug It Off + Tremble,22,13.7,400.9,19.7,0.535,122.4
BLOODLETTING;DOMINATE;HEADBUTT,Bloodletting + Dominate + Headbutt,22,13.7,400.9,19.7,0.48,117.0
BLOODLETTING;PERFECTED_STRIKE;POMMEL_STRIKE,Bloodletting + Perfected Strike + Pommel Strike,22,13.7,401.4,20.2,0.47,119.2
HEADBUTT;POMMEL_STRIKE;VICIOUS,Headbutt + Pommel Strike + Vicious,22,13.7,408.3,27.1,0.571,118.2
BLOODLETTING;MOLTEN_FIST;POMMEL_STRIKE,Bloodletting + Molten Fist + Pommel Strike,22,13.7,412.5,31.3,0.402,117
BLOODLETTING;HEADBUTT;VICIOUS,Bloodletting + Headbutt + Vicious,22,13.7,415.6,34.5,0.592,120.1
SHRUG_IT_OFF;TREMBLE;UPPERCUT,Shrug It Off + Tremble + Uppercut,22,13.7,416.7,35.5,0.514,128.0
SHRUG_IT_OFF;TREMBLE;TRUE_GRIT,Shrug It Off + Tremble + True Grit,22,13.7,420.0,38.9,0.555,130.5
BURNING_PACT;FEEL_NO_PAIN;POMMEL_STRIKE,Burning Pact + Feel No Pain + Pommel Strike,21,13.0,354.2,-26.9,0.54,117.3
FIEND_FIRE;POMMEL_STRIKE;SHRUG_IT_OFF,Fiend Fire + Pommel Strike + Shrug It Off,21,13.0,358.8,-22.4,0.559,118.9
FEEL_NO_PAIN;POMMEL_STRIKE;SHRUG_IT_OFF,Feel No Pain + Pommel Strike + Shrug It Off,21,13.0,360.8,-20.4,0.604,120.9
BLOODLETTING;COLOSSUS;TAUNT,Bloodletting + Colossus + Taunt,21,13.0,361,-20.2,0.576,113.4
COLOSSUS;POMMEL_STRIKE;TAUNT,Colossus + Pommel Strike + Taunt,21,13.0,362.8,-18.4,0.584,116.4
BLOODLETTING;BURNING_PACT;TAUNT,Bloodletting + Burning Pact + Taunt,21,13.0,364.4,-16.8,0.537,112.7
ANGER;BLOODLETTING;SHRUG_IT_OFF,Anger + Bloodletting + Shrug It Off,21,13.0,374.0,-7.1,0.641,116.7
HEADBUTT;SHRUG_IT_OFF;TAUNT,Headbutt + Shrug It Off + Taunt,21,13.0,376.3,-4.9,0.499,114.0
BLOODLETTING;FEEL_NO_PAIN;TREMBLE,Bloodletting + Feel No Pain + Tremble,21,13.0,379.0,-2.1,0.579,113.4
BLOOD_WALL;BURNING_PACT;SHRUG_IT_OFF,Blood Wall + Burning Pact + Shrug It Off,21,13.0,379.8,-1.4,0.484,121.3
HEADBUTT;SHRUG_IT_OFF;TRUE_GRIT,Headbutt + Shrug It Off + True Grit,21,13.0,381.1,-0.0,0.551,115.0
BLOODLETTING;BLOOD_WALL;BURNING_PACT,Bloodletting + Blood Wall + Burning Pact,21,13.0,381.1,-0.0,0.487,118.0
BLOODLETTING;FIEND_FIRE;POMMEL_STRIKE,Bloodletting + Fiend Fire + Pommel Strike,21,13.0,381.1,-0.0,0.493,117.9
BLOODLETTING;FORGOTTEN_RITUAL;POMMEL_STRIKE,Bloodletting + Forgotten Ritual + Pommel Strike,21,13.0,381.3,0.1,0.577,116.9
BLOODLETTING;BURNING_PACT;UPPERCUT,Bloodletting + Burning Pact + Uppercut,21,13.0,382.0,0.8,0.488,119.9
DOMINATE;HEADBUTT;SHRUG_IT_OFF,Dominate + Headbutt + Shrug It Off,21,13.0,383.0,1.9,0.532,115.3
SHRUG_IT_OFF;TAUNT;UPPERCUT,Shrug It Off + Taunt + Uppercut,21,13.0,383.7,2.5,0.53,120.0
BATTLE_TRANCE;DOMINATE;SHRUG_IT_OFF,Battle Trance + Dominate + Shrug It Off,21,13.0,384.4,3.2,0.538,117.3
BATTLE_TRANCE;COLOSSUS;SHRUG_IT_OFF,Battle Trance + Colossus + Shrug It Off,21,13.0,385.1,3.9,0.532,108.2
BLOODLETTING;FEEL_NO_PAIN;TRUE_GRIT,Bloodletting + Feel No Pain + True Grit,21,13.0,385.3,4.1,0.58,118.9
FEEL_NO_PAIN;SHRUG_IT_OFF;TREMBLE,Feel No Pain + Shrug It Off + Tremble,21,13.0,385.8,4.6,0.553,122.6
BLOODLETTING;BLOOD_WALL;HEADBUTT,Bloodletting + Blood Wall + Headbutt,21,13.0,385.9,4.7,0.5,113.2
BLOODLETTING;MOLTEN_FIST;SHRUG_IT_OFF,Bloodletting + Molten Fist + Shrug It Off,21,13.0,386.3,5.1,0.464,112.3
HEADBUTT;POMMEL_STRIKE;TRUE_GRIT,Headbutt + Pommel Strike + True Grit,21,13.0,386.8,5.6,0.553,119.7
BLOODLETTING;HEADBUTT;TRUE_GRIT,Bloodletting + Headbutt + True Grit,21,13.0,387.2,6.0,0.551,119.2
HEADBUTT;POMMEL_STRIKE;TAUNT,Headbutt + Pommel Strike + Taunt,21,13.0,388.0,6.9,0.462,116.8
ASHEN_STRIKE;BLOODLETTING;POMMEL_STRIKE,Ashen Strike + Bloodletting + Pommel Strike,21,13.0,389.6,8.4,0.515,114.4
BATTLE_TRANCE;COLOSSUS;POMMEL_STRIKE,Battle Trance + Colossus + Pommel Strike,21,13.0,389.7,8.5,0.527,112.5
BLOODLETTING;COLOSSUS;VICIOUS,Bloodletting + Colossus + Vicious,21,13.0,392.3,11.1,0.604,119.1
BLOODLETTING;UPPERCUT;VICIOUS,Bloodletting + Uppercut + Vicious,21,13.0,394.5,13.3,0.621,117.3
BATTLE_TRANCE;BLOODLETTING;BLOOD_WALL,Battle Trance + Bloodletting + Blood Wall,21,13.0,397.9,16.7,0.392,109.0
BLOODLETTING;EVIL_EYE;POMMEL_STRIKE,Bloodletting + Evil Eye + Pommel Strike,21,13.0,402.1,21.0,0.573,116.8
BLOODLETTING;CRIMSON_MANTLE;POMMEL_STRIKE,Bloodletting + Crimson Mantle + Pommel Strike,21,13.0,404.9,23.7,0.44,118.0
ARMAMENTS;BLOODLETTING;HEADBUTT,Armaments + Bloodletting + Headbutt,21,13.0,405.2,24.0,0.519,119.3
BLOODLETTING;INFERNO;SHRUG_IT_OFF,Bloodletting + Inferno + Shrug It Off,21,13.0,409.1,27.9,0.526,114.0
EVIL_EYE;POMMEL_STRIKE;UPPERCUT,Evil Eye + Pommel Strike + Uppercut,21,13.0,412.1,31.0,0.478,117.4
BLOODLETTING;TREMBLE;UPPERCUT,Bloodletting + Tremble + Uppercut,21,13.0,421.1,40.0,0.536,122.6
BLOODLETTING;DOMINATE;FEEL_NO_PAIN,Bloodletting + Dominate + Feel No Pain,20,12.4,352.9,-28.2,0.561,110.0
DOMINATE;FEEL_NO_PAIN;POMMEL_STRIKE,Dominate + Feel No Pain + Pommel Strike,20,12.4,354.6,-26.6,0.527,114.0
BLOODLETTING;BURNING_PACT;FEEL_NO_PAIN,Bloodletting + Burning Pact + Feel No Pain,20,12.4,354.9,-26.3,0.606,112.1
BLOODLETTING;POMMEL_STRIKE;UNMOVABLE,Bloodletting + Pommel Strike + Unmovable,20,12.4,365.1,-16.1,0.566,118.8
